条款,规则项,口径,备注
DOC05,文档说明,智答云发票与抬头规则；知识库版本2026-Q3；生效2026-07-01,中国区订阅
DOC05,适用范围,电子普票与增值税专票、开票时间、金额口径、抬头错误处理；退款与专票红字交叉见DOC06,
5.1,发票类型,支持电子普通发票、增值税专用发票（专票）,
5.1,默认开票内容,信息技术服务费,
5.1,特殊开票内容,须在付款前联系销售确认是否可开；付款后无法保证变更成功,禁止事后随便改类目
5.2,月付开票时机,支付成功后即可申请开票,
5.2,退款与开票,同一自然月内发生退款，退款对应部分不能重复开票,
5.2,企业年付开票,款项到账并完成合同归档后统一开票,
5.2,开具时效,资料齐全时电子票通常申请后1～3个工作日内开具；高峰可能延长，以工单反馈为准,
5.3,发票金额,按实际支付金额开具，不含已退还部分,
5.3,优惠券,券抵扣金额不开票，只对用户实付部分开票,
5.4,专票资料,须维护公司名称、纳税人识别号、地址电话、开户行及账号等（以开票页必填为准）；信息不全驳回,
5.5,抬头错误-尚未开具,可在开票申请页自行修改抬头与税号后重新提交,
5.5,抬头错误-已开普票未报销,可提交工单申请作废或红冲后重开，须提供正确抬头；是否允许以财务审核为准；同一订单原则上限制次数,
5.5,抬头错误-已开专票,必须走红字发票信息确认流程后再重开正确专票,
5.5,已开专票且要退款,必须先完成红字流程再退款（见DOC06）,客服勿说马上退
5.5,多次重开,用户自身填错导致多次重开，可能要求加盖公章说明；不得承诺无限次免费重开,
5.6,是否支持专票,支持,
5.6,专票后退款顺序,先红字，后退款,
5.7,公司更名,提供工商变更证明与新开票资料，经财务审核后用于后续订单；已开旧票是否换开按税务与财务审核，不保证所有历史票都能换开,
5.7,合并开票,同一付款主体多笔月付是否合并一张，以财务当期能力为准；不能承诺跨年合并,
5.8,误解-自动开票,付了钱不会自动开票，需用户发起申请；企业年付可能由销售统一申请,
5.8,误解-退款后仍报销原票,退款对应部分不可重复作为有效应税凭证；专票须红字,
5.8,误解-个人开专票,个人抬头通常不符合专票条件，应开普票,
5.9,开票检查清单1,确认订单已支付成功且未全额退款,
5.9,开票检查清单2,选择普票或专票；专票备齐名称税号地址电话开户行账号,
5.9,开票检查清单3,开票内容默认信息技术服务费；特殊内容须付款前已确认,
5.9,开票检查清单4,核对金额等于实付（不含券）,
5.9,开票检查清单5,提交后保存申请单号便于工单追踪,
例外,专票资质,个人是否具备专票资质以税务与平台审核为准；不符合则开普票,
例外,复杂主体,第三方代付、加盟商代开等升级人工财务处理,
例外,下载链接过期,电子票下载链接过期可工单重发，不视为重新开具金额,
话术,开场三问,先问：普票还是专票、是否已开出、是否已报销,
话术,退款提醒,有专票别直接说马上退，先讲红字,
禁止,开票内容,禁止承诺法定以外或未确认的开票内容（如随意改成软件销售）,
禁止,当日必开,资料不齐时禁止承诺今天一定开出,
禁止,税率鉴定,禁止承诺一定免税或具体税率解释；税率以实际开具为准,
关联,相关主题,DOC06退款与红字；DOC02支付；DOC09发票类工单,
