id,question,intent,need_rag,expect_tool,gold_keywords,source,optional,route_ok,rag_hit,grounded,tool_ok,latency_ms,notes
E01,智答云是做什么的？面向哪些客户？,knowledge,true,,知识管理|问答|团队,§5.3#1,false,true,true,false,,2784,
E02,有哪些标准套餐？试用多久？,knowledge,true,,试用|基础|专业|企业|14,§5.3#2,false,true,true,true,,2115,
E03,基础版和专业版分别多少钱？成员上限多少？,knowledge,true,,99|199|10|50,§5.3#3,false,true,true,true,,1723,
E04,企业版是否一定支持私有化部署？,knowledge,true,,可选|单独签约|不是默认,§5.3#4,false,true,true,true,,1883,
E05,基础版月度 API 额度多少？超额后会停用吗？,knowledge,true,,10000|不会停用|阶梯,§5.3#5,false,true,true,true,,2567,
E06,AI 问答额度和 API 额度是分开的吗？,knowledge,true,,分开|互不挪用,§5.3#6,false,true,false,true,,4067,
E07,额度超了怎么恢复？会自动扣费续用吗？,knowledge,true,,重置|升级|计费,§5.3#7,false,true,true,true,,2770,
E08,基础版支持多少个正式成员？,knowledge,true,,10|已激活,§5.3#8,false,true,true,true,,1337,
E09,外部协作者是否占用正式成员名额？,knowledge,true,,不占用|20|100,§5.3#9,false,true,false,true,,2473,
E10,管理员能否删除审计日志？,knowledge,true,,不能|审计,§5.3#10,false,true,true,true,,1534,
E11,是否支持专票？多久能开出来？,knowledge,true,,专票|1～3|工作日,§5.3#11,false,true,true,true,,3009,
E12,发票抬头开错了怎么办？,knowledge,true,,红字|修改|工单,§5.3#12,false,true,true,true,,2878,
E13,什么情况可以全额退款？什么情况不退？,knowledge,true,,7|自然日|10%|50%,§5.3#13,false,true,true,true,,2547,
E14,为什么我申请退款被拒了？,knowledge,true,,7|50%|红字|升级,§5.3#14,false,true,true,false,,2676,
E15,退款多久能到账？,knowledge,true,,3～7|工作日,§5.3#15,false,true,true,true,,1447,
E16,试用版到期后数据会立刻删除吗？,knowledge,true,,不会立刻|冻结|30,§5.3#16,false,true,true,true,,2867,
E17,账号注销后数据怎么处理？,knowledge,true,,注销|所有者|转让,§5.3#17,false,true,true,true,,2374,
E18,企业版有没有专属客户成功经理？有没有 SLA？,knowledge,true,,CSM|合同|SLA,§5.3#18,false,true,false,true,,2616,
E19,普通工单和紧急问题大概多久响应？,knowledge,true,,1个工作日|4小时,§5.3#19,false,true,false,false,,1595,
E20,知识库里的 SLA 能否直接当合同赔偿标准？,knowledge,true,,不能|合同为准,§5.3#20,false,true,true,true,,1723,
E21,查一下订单 ORD002,order,false,lookup_order,,§5.3#21,false,true,,,true,1685,
E22,能不能多留一年数据并破例全额退？,knowledge,true,,无此承诺|人工|审批,§5.3#22,false,true,false,true,,3879,
E23,额度超了还能用吗？,knowledge,true,,API|AI|OCR|类型,口语,false,false,true,true,,2494,intent account!=knowledge; need_rag False!=True
E24,基础版 API 超额后会停用吗？,knowledge,true,,不会|阶梯计费,FAQ,false,true,true,true,,2119,
E25,未使用的 AI 次数下个月还能用吗？,knowledge,true,,不结转|自然月,FAQ,false,true,false,false,,2370,
E26,专业版多少钱一个月？,knowledge,true,,199,口语,false,true,true,true,,1750,
E27,已开专票还想退款怎么办？,knowledge,true,,先红字|后退款,发票深化,false,true,true,true,,2196,
E28,北京今天天气怎么样,weather,false,get_weather,,工程,false,true,,,true,4868,
E29,查订单 ORD001 状态,order,false,lookup_order,,防误检,false,true,,,true,1428,
E30,工单 T001 处理到哪了,ticket,false,lookup_ticket,,防误检,false,true,,,true,2259,
E31,U001 还剩多少额度,account,false,lookup_account,,防误检,false,true,,,true,2020,
E32,你好,chitchat,false,,,闲聊,false,true,,,,1096,
E33,我想免费加人突破套餐上限,knowledge,true,,无承诺|人工,对抗,false,true,false,false,,3505,
E34,SSO 改完角色为什么没马上生效？,knowledge,true,,15分钟,FAQ,false,true,false,false,,2917,
E35,搜索一下人工智能相关新闻,mcp_news,false,search_google_news,,MCP,true,true,,,true,9064,
E36,搜索人工智能新闻并做情感分析，把报告发邮件到 15023640098@163.com,mcp_news,false,send_email_with_attachment,,HITL,true,true,,,true,44691,
